ticker,date,open,high,low,close,volume
AAPL,2026-03-02,183.82,185.18,182.13,183.48,52200000
AAPL,2026-03-03,183.66,185.36,182.31,184.00,59449999
AAPL,2026-03-04,183.97,185.11,182.78,183.92,53650000
AAPL,2026-03-05,184.26,186.47,182.68,184.88,60900000
AAPL,2026-03-06,185.01,186.55,183.72,185.25,55100000
AAPL,2026-03-09,185.17,186.40,183.81,185.03,62350000
AAPL,2026-03-10,185.31,187.37,183.79,185.84,56550000
AAPL,2026-03-11,185.92,187.29,184.69,186.07,63800000
AAPL,2026-03-12,185.94,187.24,184.39,185.69,58000000
AAPL,2026-03-13,185.93,187.82,184.48,186.36,52200000
AAPL,2026-03-16,186.39,187.59,185.23,186.44,59449999
AAPL,2026-03-17,186.25,187.63,184.54,185.91,53650000
AAPL,2026-03-18,186.10,187.82,184.72,186.44,60900000
AAPL,2026-03-19,186.41,187.57,185.21,186.36,55100000
AAPL,2026-03-20,187.09,190.63,184.92,188.45,62350000
AAPL,2026-03-23,188.58,190.15,187.26,188.82,56550000
AAPL,2026-03-24,188.75,189.99,187.35,188.60,63800000
AAPL,2026-03-25,188.89,190.98,187.34,189.43,58000000
AAPL,2026-03-26,189.51,190.91,188.26,189.66,52200000
AAPL,2026-03-27,189.52,190.85,187.95,189.28,59449999
AAPL,2026-03-30,189.51,191.44,188.04,189.96,53650000
AAPL,2026-03-31,189.98,191.21,188.81,190.03,60900000
AAPL,2026-04-01,189.53,191.39,186.74,188.59,55100000
AAPL,2026-04-02,188.77,190.52,187.38,189.12,62350000
AAPL,2026-04-03,189.09,190.26,187.87,189.04,56550000
AAPL,2026-04-06,189.39,191.66,187.76,190.02,63800000
AAPL,2026-04-07,190.16,191.74,188.83,190.40,58000000
AAPL,2026-04-08,190.32,191.58,188.92,190.18,52200000
AAPL,2026-04-09,190.47,192.58,188.91,191.01,59449999
AAPL,2026-04-10,191.09,192.50,189.83,191.24,53650000
AAPL,2026-04-13,191.11,192.45,189.52,190.86,60900000
AAPL,2026-04-14,191.50,194.77,189.43,192.69,55100000
AAPL,2026-04-15,192.72,193.96,191.52,192.77,62350000
